question,answer
WHAT IS THE LAST NAME OF THE MAN WHO SHOWED THAT LIGHTNING IS ELECTRIC?,FRANKLIN
WHAT IS THE LAST NAME OF THE FAMOUS MAGICIAN AND ESCAPE ARTIST WHO DIED OF APPENDICITIS?,HOUDINI
WHAT IS THE NAME OF DEER MEAT?,VENISON
WHAT IS THE NAME OF THE LARGE HAIRY SPIDER THAT LIVES NEAR BANANAS?,TARANTULA
WHAT IS THE NAME OF THE OCEAN THAT IS LOCATED BETWEEN AFRICA AND AUSTRALIA?,INDIAN
WHAT IS THE LAST NAME OF THE SINGER WHO RECORDED “HEARTBREAK HOTEL” AND “ALL SHOOK UP”?,PRESLEY
WHAT IS THE NAME OF THE CRIME IN WHICH A PERSON PURPOSELY BETRAYS HIS COUNTRY?,TREASON
WHAT IS THE NAME OF THE FIRST ARTIFICIAL SATELLITE PUT IN ORBIT BY RUSSIA IN 1957?,SPUTNIK
WHAT BRAND OF CIGARETTE WAS FIRST TO HAVE THE FLIP-TOP BOX?,MARLBORO
WHAT KIND OF METAL IS ASSOCIATED WITH A 50TH WEDDING ANNIVERSARY?,GOLD
WHICH TYPE OF SNAKE DO ASIAN SNAKE-CHARMERS USE?,COBRA
WHAT IS THE ONLY LIQUID METAL AT ROOM TEMPERATURE?,MERCURY
WHAT IS THE NAME OF THE DESERT PEOPLE WHO WANDER INSTEAD OF LIVING IN ONE PLACE?,NOMADS
WHAT IS THE CAPITAL OF NEW YORK?,ALBANY
WHAT IS THE NAME OF THE ORGAN THAT PRODUCES INSULIN?,PANCREAS
WHAT IS THE NAME OF THE COLLAR BONE?,CLAVICLE
WHAT IS THE NAME OF THE EXTINCT REPTILES KNOWN AS “TERRIBLE LIZARDS”?,DINOSAURS
WHAT IS THE CAPITAL OF RUSSIA?,MOSCOW
WHICH BREED OF CAT HAS BLUE EYES?,SIAMESE
WHAT IS THE LAST NAME OF THE SECOND U.S. PRESIDENT?,ADAMS
WHAT IS THE NAME OF THE CONSTELLATION THAT LOOKS LIKE A FLYING HORSE?,PEGASUS
WHAT IS THE NAME OF THE KIND OF CAT THAT SPOKE TO ALICE IN THE STORY “ALICE’S ADVENTURES IN WONDERLAND”?,CHESHIRE
WHAT IS THE LAST NAME OF THE MAN WHO PROPOSED THE THEORY OF RELATIVITY?,EINSTEIN
WHAT WAS THE LAST NAME OF THE WOMAN WHO SUPPOSEDLY DESIGNED AND SEWED THE FIRST AMERICAN FLAG?,ROSS
WHAT IS THE LAST NAME OF THE FIRST SIGNER OF THE “DECLARATION OF INDEPENDENCE”?,HANCOCK
WHAT WAS THE NAME OF KING ARTHUR’S SWORD?,EXCALIBUR
WHAT IS THE WORD THAT MEANS A NAUTICAL MILE PER HOUR?,KNOT
WHAT IS THE NAME FOR THE ASTRONOMICAL BODIES THAT ENTER THE EARTH’S ATMOSPHERE?,METEORS
WHAT IS THE LONGEST RIVER IN SOUTH AMERICA?,AMAZON
WHAT IS THE NAME OF THE AUTOMOBILE INSTRUMENT THAT MEASURES MILEAGE?,ODOMETER
WHAT ITALIAN CITY WAS DESTROYED WHEN MOUNT VESUVIUS ERUPTED IN 79 A.D.?,POMPEII
WHAT IS THE LAST NAME OF BATMAN’S SECRET IDENTITY IN THE BATMAN COMICS?,WAYNE
WHAT IS THE LAST NAME OF THE MYTHICAL GIANT LUMBERJACK?,BUNYAN
WHAT IS THE NAME OF THE COMPANY THAT PRODUCES “BABY RUTH” CANDY BARS?,NESTLE
WHAT IS THE NAME OF SOCRATES’ MOST FAMOUS STUDENT?,PLATO
WHAT IS THE NAME OF THE THREE-LEAF CLOVER THAT IS THE EMBLEM OF IRELAND?,SHAMROCK
OF WHICH COUNTRY IS BUENOS AIRES THE CAPITAL?,ARGENTINA
WHAT IS THE LAST NAME OF THE ACTRESS WHO RECEIVED THE BEST ACTRESS AWARD FOR THE MOVIE “MARY POPPINS”?,ANDREWS
WHAT IS THE NAME OF THE MOUNTAIN RANGE IN WHICH MOUNT EVEREST IS LOCATED?,HIMALAYAS
WHAT IS THE UNIT OF SOUND INTENSITY?,DECIBEL
WHAT IS THE NAME OF THE PROJECT WHICH DEVELOPED THE ATOMIC BOMB DURING WORLD WAR II?,MANHATTAN
WHAT IS THE UNIT OF ELECTRICAL POWER THAT REFERS TO A CURRENT OF ONE AMPERE AT ONE VOLT?,WATT
WHAT IS THE LAST NAME OF THE AUTHOR OF THE BOOK “1984”?,ORWELL
IN WHICH GAME ARE MEN CROWNED?,CHECKERS
WHAT IS THE LAST NAME OF THE MAN WHO ASSASSINATED PRESIDENT JOHN F. KENNEDY?,OSWALD
WHAT IS THE NAME OF BATMAN’S BUTLER?,ALFRED
WHICH COUNTRY WAS THE FIRST TO USE GUNPOWDER?,CHINA
WHAT IS THE NAME OF AN AIRPLANE WITHOUT AN ENGINE?,GLIDER
WHAT IS THE NAME OF THE NORTH STAR?,POLARIS
WHAT IS THE ONLY WORD THAT THE RAVEN SAYS IN EDGAR ALLEN POE’S POEM “THE RAVEN”?,NEVERMORE
FOR WHICH COUNTRY IS THE YEN THE MONETARY UNIT?,JAPAN
IN WHAT EUROPEAN CITY IS THE PARTHENON LOCATED?,ATHENS
WHAT IS THE NAME OF THE FURRY ANIMAL THAT ATTACKS COBRA SNAKES?,MONGOOSE
FOR WHICH COUNTRY IS THE RUPEE THE MONETARY UNIT?,INDIA
WHAT IS THE LAST NAME OF THE MAN WHO FIRST STUDIED GENETIC INHERITANCE IN PLANTS?,MENDEL
WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE “STAR SPANGLED BANNER”?,KEY
WHAT IS THE NAME OF THE PALACE IN LONDON IN WHICH THE MONARCH OF ENGLAND RESIDES?,BUCKINGHAM
IN WHICH GAME ARE THE STANDARD PIECES OF STAUNTON DESIGN?,CHESS
WHAT ARE PEOPLE WHO MAKE MAPS CALLED?,CARTOGRAPHERS
WHAT WAS THE NAME OF THE ZEPPELIN THAT EXPLODED IN LAKEHURST N.J. IN 1937?,HINDENBURG
WHAT IS THE PALACE BUILT IN FRANCE BY KING LOUIS XIV?,VERSAILLES
IN WHICH CITY IS THE U.S. NAVAL ACADEMY LOCATED?,ANNAPOLIS
WHAT IS THE NAME OF THE LIGHTEST WOOD KNOWN?,BALSA
WHAT IS THE LAST NAME OF THE BOXER WHO LATER BECAME KNOWN AS MUHAMMAD ALI?,CLAY
WHAT ISLAND IS THE LARGEST IN THE WORLD EXCLUDING AUSTRALIA?,GREENLAND
WHAT IS THE NAME OF THE SMALL JAPANESE STOVE USED FOR OUTDOOR COOKING?,HIBACHI
WHAT IS THE LAST NAME OF THE WOMAN WHO BEGAN THE PROFESSION OF NURSING?,NIGHTINGALE
WHO WAS THE LEADER OF THE ARGONAUTS?,JASON
WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “GUERNICA”?,PICASSO
IN WHAT ANCIENT CITY WERE THE “HANGING GARDENS” LOCATED?,BABYLON
WHAT ARE PEOPLE CALLED WHO EXPLORE CAVES?,SPELUNKERS
WHAT IS THE NAME OF THE CAPTAIN OF THE PEQUOD IN THE BOOK “MOBY DICK”?,AHAB
WHAT IS THE CAPITAL OF KENTUCKY?,FRANKFORT
WHAT IS THE NAME OF AN ILLEGAL MOVE BY A BASEBALL PITCHER THAT RESULTS IN ALL RUNNERS ADVANCING ONE BASE?,BALK
WHAT IS THE LAST NAME OF THE AMERICAN WHO STARRED IN THE 1936 OLYMPICS?,OWENS
THE DEEPEST PART OF THE OCEAN IS LOCATED AT WHICH TRENCH?,MARIANA
WHICH SPORT USES THE TERMS “STONES” AND “BROOMS”?,CURLING
WHAT IS THE PROPER NAME FOR A BADMINTON BIRD?,SHUTTLECOCK
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “OLIVER TWIST”?,DICKENS
WHAT IS THE CAPITAL OF DELAWARE?,DOVER
WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE PHONOGRAPH?,EDISON
IN WHICH TYPE OF SKI RACE DOES THE DOWNHILL SKIER MAKE SHARP TURNS AROUND POLES?,SLALOM
IN WHICH CITY IS HEATHROW AIRPORT LOCATED?,LONDON
WHAT IS THE CAPITAL OF JAMAICA?,KINGSTON
WHICH PLANET WAS THE LAST TO BE DISCOVERED?,NEPTUNE
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “THE MURDERS IN THE RUE MORGUE”?,POE
WHAT IS THE NAME OF THE SHIP ON WHICH CHARLES DARWIN MADE HIS SCIENTIFIC VOYAGE?,BEAGLE
WHAT IS THE CAPITAL OF CHILE?,SANTIAGO
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “THE OLD MAN AND THE SEA”?,HEMINGWAY
WHAT IS THE LAST NAME OF THE MAN WHO WROTE “CANTERBURY TALES”?,CHAUCER
WHAT IS THE NAME OF THE FOUNTAIN IN ROME INTO WHICH COINS ARE THROWN FOR GOOD LUCK?,TREVI
WHAT WAS THE LAST NAME OF THE MAN WHO WAS PRESIDENT DIRECTLY AFTER JAMES MADISON?,MONROE
WHAT IS THE LAST NAME OF THE ASTRONOMER WHO PUBLISHED IN 1543 HIS THEORY THAT THE EARTH REVOLVES AROUND THE SUN?,COPERNICUS
WHAT IS THE LAST NAME OF THE CRIMINAL WHO WAS KNOWN AS “SCARFACE”?,CAPONE
WHAT IS THE NAME OF THE LONE RANGER’S INDIAN SIDEKICK?,TONTO
WHAT IS THE CAPITAL OF DENMARK?,COPENHAGEN
WHAT WAS THE LAST NAME OF THE MAN WHO WAS THE RADIO BROADCASTER FOR THE “WAR OF THE WORLDS”?,WELLES
IN WHICH CITY IS MICHELANGELO’S STATUE OF DAVID LOCATED?,FLORENCE
WHAT WAS FRANK LLOYD WRIGHT’S PROFESSION?,ARCHITECT
OF WHICH COUNTRY IS NAIROBI THE CAPITAL?,KENYA
WHAT IS THE NAME OF THE HILLBILLY FAMILY THAT HAD A FAMOUS FEUD WITH THE MCCOY FAMILY?,HATFIELD
WHAT KIND OF POISON DID SOCRATES TAKE AS HIS EXECUTION?,HEMLOCK
WHAT IS THE LAST NAME OF THE FIRST PERSON TO COMPLETE A SOLO FLIGHT ACROSS THE ATLANTIC OCEAN?,LINDBERGH
ANDY GRIFFITH WAS THE SHERIFF OF WHAT TOWN ON TELEVISION’S “ANDY GRIFFITH SHOW”?,MAYBERRY
WHAT IS THE NAME OF THE ROMAN EMPEROR WHO FIDDLED WHILE ROME BURNED?,NERO
WHAT IS THE CITY IN WHICH THE BASEBALL HALL OF FAME IS LOCATED?,COOPERSTOWN
WHAT IS THE NAME OF THE UNIT OF MEASURE THAT REFERS TO A SIX-FOOT DEPTH OF WATER?,FATHOM
WHAT IS THE LAST NAME OF THE SCIENTIST WHO DISCOVERED RADIUM?,CURIE
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “BRAVE NEW WORLD”?,HUXLEY
IN ADDITION TO THE KENTUCKY DERBY AND THE BELMONT STAKES WHAT HORSE RACE COMPRISES THE TRIPLE CROWN?,PREAKNESS
WHAT IS THE LAST NAME OF THE CRIMINAL WHO WAS KILLED BY FBI AGENTS OUTSIDE OF A CHICAGO MOVIE THEATER?,DILLINGER
WHAT IS THE NAME OF THE SINGER WHO POPULARIZED A DANCE KNOWN AS THE “TWIST”?,CHECKER
OVER WHICH RIVER IS THE GEORGE WASHINGTON BRIDGE?,HUDSON
WHAT IS THE LAST NAME OF THE MAN WHO INVENTED DYNAMITE?,NOBEL
WHAT IS THE NAME OF THE CHINESE RELIGION FOUNDED BY LAO TSE?,TAOISM
WHAT IS THE LAST NAME OF THE COMMANDER WHO LOST THE BATTLE OF THE LITTLE BIGHORN RIVER?,CUSTER
WHAT IS THE NAME OF THE NAVIGATION INSTRUMENT USED AT SEA TO PLOT POSITION BY THE STARS?,SEXTANT
WHO WAS THE MOST FAMOUS GREEK DOCTOR?,HIPPOCRATES
IN WHICH CITY DOES THE COTTON BOWL TAKE PLACE?,DALLAS
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE THE SHERLOCK HOLMES STORIES?,DOYLE
FOR WHICH COUNTRY IS THE DRACHMA THE MONETARY UNIT?,GREECE
WHAT IS THE NAME OF THE MANSION IN VIRGINIA THAT WAS THOMAS JEFFERSON’S HOME?,MONTICELLO
WHAT IS THE LONGEST RIVER IN ASIA?,YANGTZE
WHAT IS THE LAST NAME OF THE ACTOR WHO RECEIVED THE BEST ACTOR AWARD FOR THE MOVIE “ON THE WATERFRONT”?,BRANDO
WHAT IS THE LAST NAME OF THE MALE STAR OF THE MOVIE “CASABLANCA”?,BOGART
OF WHICH COUNTRY IS BUDAPEST THE CAPITAL?,HUNGARY
WHO IS KNOWN AS “THE FATHER OF GEOMETRY”?,EUCLID
WHAT IS THE LAST NAME OF THE HUSBAND-WIFE SPIES WHO WERE ELECTROCUTED IN 1951 FOR PASSING ATOMIC SECRETS TO RUSSIA?,ROSENBERG
WHAT IS THE LAST NAME OF THE COMPOSER WHO WROTE THE OPERA “DON GIOVANNI”?,MOZART
WHAT IS THE LAST NAME OF THE AUTHOR OF THE JAMES BOND NOVELS?,FLEMING
WHAT WAS THE LAST NAME OF BUFFALO BILL?,CODY
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE UNDER THE PSEUDONYM OF MARK TWAIN?,CLEMENS
WHAT IS THE NAME OF THE ISLAND ON WHICH NAPOLEON WAS BORN?,CORSICA
WHAT IS THE LAST NAME OF THE DOCTOR WHO FIRST DEVELOPED A VACCINE AGAINST POLIO?,SALK
WHAT IS THE LAST NAME OF THE MAN WHO BEGAN THE REFORMATION IN GERMANY?,LUTHER
WHAT IS THE CAPITAL OF FINLAND?,HELSINKI
WHAT WAS THE NAME OF THE APOLLO LUNAR MODULE THAT LANDED THE FIRST MAN ON THE MOON?,EAGLE
WHAT IS THE LAST NAME OF THE COSMONAUT WHO WAS THE FIRST PERSON TO ORBIT AROUND THE EARTH?,GAGARIN
WHAT WAS THE NAME OF ROY ROGER’S DOG?,BULLET
WHAT WAS THE NAME OF ALEXANDER GRAHAM BELL’S ASSISTANT?,WATSON
WHAT WAS THE LAST NAME OF THE COMPOSER OF THE “MAPLE LEAF RAG”?,JOPLIN
WHAT IS THE LAST NAME OF THE PLAYWRIGHT WHO WROTE “A STREETCAR NAMED DESIRE”?,WILLIAMS
WHAT IS THE LAST NAME OF THE AUTHOR OF “LITTLE WOMEN”?,ALCOTT
WHAT IS THE LAST NAME OF THE FIRST PERSON TO CLIMB MOUNT EVEREST?,HILLARY
WHAT IS THE LAST NAME OF THE ACTOR WHO PLAYED RHETT BUTLER IN “GONE WITH THE WIND”?,GABLE
IN WHICH COUNTRY IS ANGEL FALLS LOCATED?,VENEZUELA
WHAT IS THE CAPITAL OF CANADA?,OTTAWA
WHAT IS THE LAST NAME OF THE TWENTY-FIRST U.S. PRESIDENT?,ARTHUR
WHAT WAS THE NAME OF THE GOLDFISH IN THE STORY OF PINOCCHIO?,CLEO
WHAT IS THE NAME OF THE VILLAINOUS PEOPLE WHO LIVED UNDERGROUND IN H. G. WELLS’S BOOK “THE TIME MACHINE”?,MORLOCKS
WHAT WAS THE LAST NAME OF THE CHARACTER PORTRAYED BY ROBERT STACK ON THE TELEVISION SHOW “THE UNTOUCHABLES”?,NESS
WHAT IS THE CAPITAL OF AUSTRALIA?,CANBERRA
WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “THE PERSISTENCE OF MEMORY”?,DALI
WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE TELEGRAPH?,MORSE
WHAT IS THE NAME OF THE RIVER ON WHICH BONN IS LOCATED?,RHINE
WHAT IS THE NAME OF THE SUBSTANCE DERIVED FROM A WHALE THAT IS USED TO MAKE PERFUME?,AMBERGRIS
"WHAT IS THE NAME OF THE SUBMARINE IN JULES VERNE’S “20,000 LEAGUES BENEATH THE SEA”?",NAUTILUS
WHAT WAS THE NAME OF THE CLOWN ON THE “HOWDY DOODY” TELEVISION SHOW?,CLARABELL
WHAT IS THE LAST NAME OF DAGWOOD’S BOSS IN THE COMIC STRIP “BLONDIE”?,DITHERS
WHAT IS THE LAST NAME OF THE MOVIE ACTOR WHO PORTRAYED SPARTACUS?,DOUGLAS
WHAT IS THE LAST NAME OF THE WOMAN WHO FOUNDED THE AMERICAN RED CROSS?,BARTON
WHAT IS THE LAST NAME OF THE UNION GENERAL WHO DEFEATED THE CONFEDERATE ARMY AT THE CIVIL WAR BATTLE OF GETTYSBURG?,MEADE
WHAT IS THE NAME OF THE AVENUE THAT IMMEDIATELY FOLLOWS ATLANTIC AVENUE IN THE GAME OF MONOPOLY?,VENTNOR
WHICH GAME USES A DOUBLING CUBE?,BACKGAMMON
WHAT IS THE LAST NAME OF THE MAN WHO SUPPOSEDLY KILLED JESSE JAMES?,FORD
WHAT IS THE LAST NAME OF THE EUROPEAN AUTHOR WHO WROTE “THE TRIAL”?,KAFKA
THE GENERAL NAMED HANNIBAL WAS FROM WHAT CITY?,CARTHAGE
WHAT IS THE LAST NAME OF THE BRITISH ADMIRAL WHO WON THE BATTLE OF TRAFALGAR?,NELSON
WHAT IS THE NAME OF THE INDIAN COLLEGE IN PENNSYLVANIA FOR WHICH JIM THORPE PLAYED FOOTBALL?,CARLISLE
WHAT IS THE NAME OF THE PLAY IN WHICH ELWOOD P. DOWD IS A CHARACTER?,HARVEY
WHAT FAMOUS KNOT DID ALEXANDER THE GREAT UNDO?,GORDIAN
WHAT WAS THE NAME OF THE UNSUCCESSFUL AUTO THAT WAS MANUFACTURED BY THE FORD MOTOR COMPANY FROM 1957–1959?,EDSEL
WHAT IS THE LAST NAME OF THE SONG WRITER WHO WROTE THE SONG “I LOVE PARIS”?,PORTER
WHAT IS THE LAST NAME OF THE FIRST AMERICAN AUTHOR TO WIN THE NOBEL PRIZE FOR LITERATURE?,LEWIS
WHAT IS THE LAST NAME OF THE INVENTOR OF THE WIRELESS RADIO?,MARCONI
WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “AMERICAN GOTHIC”?,WOOD
IN WHAT PROFESSION WAS EMMETT KELLY?,CLOWN
WHAT IS THE NAME OF THE RIVER THAT RUNS THROUGH ROME?,TIBER
WHAT IS THE LAST NAME OF THE POET WHO ORIGINALLY WROTE “DON JUAN”?,BYRON
WHAT IS THE LAST NAME OF THE FRENCH AUTHOR WHO WROTE “THE STRANGER”?,CAMUS
WHO WAS THE FIRST RULER OF THE HOLY ROMAN EMPIRE?,CHARLEMAGNE
WHAT IS THE LAST NAME OF THE MAN WHO IS REGARDED AS THE NATIONAL POET OF SCOTLAND?,BURNS
WHAT IS THE LAST NAME OF THE FOOTBALL PLAYER KNOWN AS “THE GALLOPING GHOST”?,GRANGE
WHAT IS THE NAME OF ROY ROGERS’ HORSE?,TRIGGER
WHAT WAS THE NAME OF THE NUCLEAR SUBMARINE THAT SUNK IN THE ATLANTIC IN 1963?,THRESHER
WHAT IS THE NAME OF THE MAN WHO REMOVED THE THORN FROM THE LION’S PAW IN THE STORY FROM AESOP’S FABLES?,ANDROCLES
WHAT IS THE NAME OF THE BRIGHTEST STAR IN THE SKY EXCLUDING THE SUN?,SIRIUS
WHAT IS THE NAME OF THE LAND OF THE GIANTS IN “GULLIVER’S TRAVELS”?,BROBDINGNAG
WHAT WAS THE LAST NAME OF THE FEMALE STAR OF THE MOVIE “CASABLANCA”?,BERGMAN
WHAT IS THE LAST NAME OF THE ACTOR KNOWN AS “THE MAN OF A THOUSAND FACES”?,CHANEY
WHAT IS THE NAME OF THE BASEBALL PLAYER WITH THE HIGHEST LIFETIME BATTING AVERAGE IN THE MAJOR LEAGUES?,COBB
WHAT WAS THE LAST NAME OF THE ACTOR IN THE ROLE OF PERRY MASON ON TELEVISION?,BURR
WHAT IS THE LAST NAME OF THE MOST POPULAR PIN-UP GIRL OF WORLD WAR II?,GRABLE
WHAT IS THE NAME OF THE LARGEST DESERT ON EARTH?,ANTARCTICA
WHAT IS THE LAST NAME OF THE JOCKEY WITH THE MOST LIFETIME WINNERS IN HORSE RACING?,BAZE
WHAT IS THE LAST NAME OF THE MAN WHO WAS THE VOICE OF MR. MAGOO?,BACKUS
WHAT IS THE LAST NAME OF THE ACTOR WHO PORTRAYED SERGEANT FRIDAY ON “DRAGNET”?,WEBB
WHAT WAS THE LAST NAME OF THE ACTOR WHO PORTRAYED THE FATHER ON THE TELEVISION SHOW “FATHER KNOWS BEST”?,YOUNG
WHAT WAS THE LAST NAME OF THE VENTRILOQUIST WHO PROVIDED THE VOICE FOR CHARLIE MCCARTHY?,BERGEN
WHAT WAS THE LAST NAME OF THE CAPTAIN OF THE BRITISH SHIP “BOUNTY” WHEN THE MUTINY OCCURRED?,BLIGH
WHAT IS THE LAST NAME OF THE INVENTOR OF THE STEAMBOAT “CLERMONT”?,FULTON
WHAT IS THE NAME OF GERMANY’S LARGEST BATTLESHIP THAT WAS SUNK IN WORLD WAR II?,BISMARCK
WHAT IS THE LAST NAME OF THE JUDGE WHO WAS KNOWN AS “THE LAW WEST OF THE PECOS”?,BEAN
WHAT IS JOHN KENNETH GALBRAITH’S PROFESSION?,ECONOMIST
WHAT WAS THE NAME OF THE UNION IRONCLAD SHIP THAT FOUGHT THE CONFEDERATE IRONCLAD MERRIMACK?,MONITOR
WHAT IS THE LAST NAME OF THE DOCTOR WHO PERFORMED THE FIRST SUCCESSFUL HUMAN HEART TRANSPLANT?,BARNARD
WHAT IS THE LAST NAME OF THE MAN WHO SAID “I ONLY REGRET THAT I HAVE BUT ONE LIFE TO LOSE FOR MY COUNTRY”?,HALE
WHAT IS THE LAST NAME OF THE PILOT OF THE U-2 SPY PLANE SHOT DOWN OVER RUSSIA IN 1960?,POWERS
WHAT IS THE LAST NAME OF THE ACTOR WHO PORTRAYED THE SHERIFF IN THE MOVIE “HIGH NOON”?,COOPER
WHAT IS THE NAME OF THE MOUNTAIN RANGE THAT SEPARATES ASIA FROM EUROPE?,URAL
WHAT IS THE LAST NAME OF THE BOXER WHO WAS KNOWN AS THE “MANASSA MAULER”?,DEMPSEY
